Phone Number Combined,Company Name,Primary SIC Code Description,Company Website,Location Address,Location City,Location State,Location ZIP Code,Executive First Name,Home Business,Credit Rating,Advertising Expense,Latitude,Longitude,Company Description
(650) 353-3994,Daly City Auto Glass,Automobile Glass-Service & Installation,,1505 Sullivan Ave,Daly City,CA,94015,,No,Very Good,"$10,000 to $20,000",037.689544,-122.471981,"Daly City Auto Glass Offers Extremely Competitive Pricing With Free Mobile Service. Our Professional Auto Glass Repair And Windshield Replacement Experts Come To Your Home OR Business And Will Repair Your Auto Glass OR Replace Your Broken Windshield. Your Auto Windshield Is A Critical Structural Component Of Your Vehicle, So High Quality Windshield Replacement Is Important To Your Safety While Driving Your Car And Could Save Your Life. Our Expert Mobile Installers Use The Very Best Components For Auto Glass Repair And Windshield Replacement, Ensuring A Perfectly Installed Windshield OR Auto Glass Repair. We Are A Full Service Glass And Windshield Replacement Company That Proudly Repairs And Installs Auto Glass Throughout South San Francisco, CA And San Francisco, Alameda San Mateo And Contra Costa Counties. We Provide Effective Results Along With The Best Workmanship IN The Industry For All Your Auto Glass Needs, Including: Auto Glass Repair, Windshield Replacement, Door Glass And Back Glass Repair And Replacement, And Much More. Call Daly City Auto Glass At (650) 353-3994 Today For A Free Estimate!!"
(650) 755-6060,Daly City Auto Repair,Automobile Repairing & Service,,136 Reiner St,Colma,CA,94014,Robert,No,Excellent,"$10,000 to $20,000",037.687987,-122.466957,
(650) 757-7777,Daly City Chiropractic,Chiropractors DC,http://Dalycitychiropractic.Wordpress.Com,151 87th St # 4,Daly City,CA,94015,Dennis K,No,Excellent,"Less than $5,000",037.693217,-122.471563,
(650) 301-8600,Daly City Clinic,Physicians & Surgeons,,380 90th St,Daly City,CA,94015,Johanna M,No,Excellent,,037.691171,-122.474067,
(650) 652-8266,Daly City Ctr Imaging,Diagnostic Imaging Centers,http://Sutterhealth.Org,901 Campus Dr # 111,Daly City,CA,94015,,No,Very Good,"$10,000 to $20,000",037.665400,-122.475883,"Our Imaging And Radiology Services Include Ultrasound, Ct Scan, Mri, X-Ray, And More."
(650) 991-3113,Daly City Dental Ctr,Dentists,http://Drhoraciolopez.Com,6395 Mission St,Daly City,CA,94014,Fannie,No,Excellent,"$10,000 to $20,000",037.704994,-122.462084,
(650) 991-3998,Daly City Dental Inc,Dentists,http://Mydalycitydentist.Com,550 Washington St,Daly City,CA,94015,,No,Excellent,"$5,000 to $10,000",037.688132,-122.474872,
(650) 755-7736,Daly City Family Dental,Dentists,http://Mydalycitydentist.Com,341 Westlake Ctr # 205,Daly City,CA,94015,Phuong W,No,Excellent,,037.700278,-122.482743,
(650) 731-3240,Daly City Garage Door Repair,Garage Doors-Repairing,http://Garagedoorrepairdalycity.Com,2001 Junipero Serra Blvd # G14,Daly City,CA,94014,Michael,No,Very Good,"$5,000 to $10,000",037.701005,-122.470284,
(650) 991-8883,Daly City Health Svc,Physicians & Surgeons,,93 Skyline Plz,Daly City,CA,94015,Lyra W,No,Excellent,,037.682752,-122.488065,
(650) 992-2451,Daly City Locksmith & Security,Doors-Repairing,http://Dalycitylock.Net,150 San Pedro Rd,Daly City,CA,94014,Yvette,No,Very Good,"$10,000 to $20,000",037.687722,-122.468415,
(650) 667-0000,Daly City Mitsubishi,Automobile Dealers-New Cars,http://Dalycitymitsubishi.Com,6399 Mission St,Daly City,CA,94014,,No,Very Good,,037.704915,-122.462146,Call US Today
(650) 273-5073,Daly City Mobile Glass,Automobile Glass-Service & Installation,http://Glasites.Com,165 2nd Ave,Daly City,CA,94014,,Yes,Very Good,"$5,000 to $10,000",037.690573,-122.463120,"Daly City Mobile Glass Offers Extremely Competitive Pricing With Free Mobile Service. Our Professional Auto Glass Repair And Windshield Replacement Experts Come To Your Home OR Business And Will Repair Your Auto Glass OR Replace Your Broken Windshield. Your Auto Windshield Is A Critical Structural Component Of Your Vehicle, So High Quality Windshield Replacement Is Important To Your Safety While Driving Your Car And Could Save Your Life. Our Expert Mobile Installers Use The Very Best Components For Auto Glass Repair And Windshield Replacement, Ensuring A Perfectly Installed Windshield OR Auto Glass Repair. We Are A Full Service Glass And Windshield Replacement Company That Proudly Repairs And Installs Auto Glass Throughout South San Francisco, CA And San Francisco, Alameda San Mateo And Contra Costa Counties. We Provide Effective Results Along With The Best Workmanship IN The Industry For All Your Auto Glass Needs, Including: Auto Glass Repair, Windshield Replacement, Door Glass And Back Glass Repair And Replacement, And Much More. Call Daly City Mobile Glass At (650) 273-5073 Today For A Free Estimate!!"
(650) 991-0999,Daly City Oral Surgery,Dentists,http://Pcdios.Com,1655 Southgate Ave # 200,Daly City,CA,94015,Isam H,No,Excellent,,037.675405,-122.470757,
(650) 755-7893,Daly City Radiator,Automobile Parts & Supplies-Mfrs,,7005 Mission St,Daly City,CA,94014,Daniel,No,Very Good,"Less than $5,000",037.695503,-122.464352,
(408) 709-7384,Daly Viking Appliance Repair,Appliances-Household-Major-Repairing,,1575 Sullivan Ave,Daly City,CA,94015,,No,Good,"Less than $5,000",037.688318,-122.471971,
(650) 994-4057,Dan's Drilling,Fence Contractors,,180 Station Ave,Daly City,CA,94014,Dan,Yes,Very Good,"Less than $5,000",037.691915,-122.469379,
(650) 756-9003,Danny Chan,Chiropractors DC,http://Drdanchan.Com,2171 Junipero Serra Blvd # 590,Daly City,CA,94014,,No,Very Good,"Less than $5,000",037.698448,-122.470641,
(650) 731-8500,Das Auto Svc,Automobile Repairing & Service,http://Dasautoserviceinc.Com,1118 Hillside Blvd,Daly City,CA,94014,Quan,No,Excellent,"$10,000 to $20,000",037.687773,-122.460861,
(415) 840-9300,Dave & Buster's,Restaurants,http://Daveandbusters.Com,130 Serramonte Ctr,Daly City,CA,94015,Leilani D,No,Very Good,"$5,000 to $10,000",037.671098,-122.468313,"At Dave & Buster's You Can Play Hundreds Of The Hottest New Arcade Games IN Our Million Dollar Midway And Win Tickets For Epic Prizes. Try Our Mouth-Watering, Chef-Crafted Creations IN Our American Restaurant. From Wings To Steaks, We'Ve Got Whatever Suits Your Appetite. Our Premium Sports Bar Features Innovative Cocktails, Impressive Wine Selection, And 20+ Beers To Assure We'Re Stocked To Satisfy! Watch Your Team On One Of Our Massive Hdtvs With Epic Stadium Sound That Surrounds You From Every Direction IN The Sports Bar That Crushes The Competition. Invite All Your Friends OR Coworkers For An Unforgettable Party OR Event! We Work With Every Size And Budget To Make Planning Easy So You Can Focus On The Fun!"
(707) 527-3042,Davey Tree Expert Co,Landscape Contractors,http://Davey.Com,1400 Mission Rd,Colma,CA,94014,,No,Excellent,"$20,000 to $50,000",037.698953,-122.454615,
(650) 991-2200,David Chacon-State Farm Ins,Insurance,,6572 Mission St,Daly City,CA,94014,David,No,Very Good,"Less than $5,000",037.703375,-122.463512,"Our Mission Is To Provide Insurance And Financial Services To Our Community, While Maintaining A Positive Impact On The People And Community We Serve, With Honesty And Ethical IN What We Do."
(650) 878-1171,Denise's Hair Design,Beauty Salons,,421 Gellert Blvd,Daly City,CA,94015,Merla,No,Excellent,"Less than $5,000",037.663809,-122.469105,
(650) 756-8544,Denny's,Restaurants,http://Dennys.Com,2 Serramonte Ctr,Daly City,CA,94015,Edwin,No,Excellent,"$50,000 to $100,000",037.675111,-122.471339,"Dennys Is Americas Diner. Where Guests Have Come For Over 60 Years To Sit Back, Relax And Enjoy Classic American Comfort Food And Everyday Value 24 Hours A Day, 365 Days A Year. Over The Years, Dennys Has Gained A Cult Association With Its Popular All-Day Signature Items Like Moons Over My Hammy, Sizzlin Skillets, Hand-Dipped Milk Shakes, 100% Beef Burgers And The World-Famous Build Your Own Grand Slam. Its Expansive Menu Features Delicious, Innovative Options For Appetizers, Lunch, Dinner And Dessert, Catering To The Taste And Dietary Requirements Of Every Guest That Walks IN The Door - Which Makes US A Great Place To Bring The Kids And Family. And Now With Dennys On Demand New! Online Ordering Your Diner Favorites Are At Your Fingertips. Just Click To Order And Pick Up On The Go. And IN Select Locations, We Even Deliver. So You Can Enjoy Dennys Fluffy Pancakes And 100% Beef Burgers On Your Time, Wherever You Want. So, Visit Dennys.Com OR Download The Mobile App And Start Your Online Ordering Experience Today."
(415) 325-4109,Dick's Sporting Goods,Sporting Goods-Retail,http://Dickssportinggoods.Com,64 Serramonte Ctr,Daly City,CA,94015,,No,Excellent,"Over $250,000",037.671653,-122.472238,"The Dick's Sporting Goods IN Daly City, CA Carries Quality Sports Equipment & Apparel. Buy Online And Pick Up IN Store At The Dick's Sporting Goods Near Daly City."
(650) 756-5050,Diddams Amazing Party Stores,Party Supplies,,468 Westlake Ave,Daly City,CA,94014,,No,Good,"Less than $5,000",037.699665,-122.468703,
(415) 550-0356,Discount Plumbing & Heating,Plumbing Contractors,http://Www1.Discountplumbingsupplies.Com,7 Bruno Ave,Daly City,CA,94014,Kevin,No,Excellent,"$10,000 to $20,000",037.695007,-122.465874,
(650) 755-9995,Discount Rooter Plumbing Inc,Plumbing Contractors,,,Daly City,CA,94015,,No,Very Good,"Less than $5,000",037.680537,-122.478908,
(415) 494-5959,Ditto's Hair Salon,Beauty Salons,,6077 Mission St,Daly City,CA,94014,Juan M,No,Very Good,"Less than $5,000",037.707294,-122.456351,
(650) 756-8630,Dog's Best Friend,Pet Boarding Sitting & Kennels,,,Daly City,CA,94015,,No,Very Good,"Less than $5,000",037.680537,-122.478908,
(415) 570-0144,Dollar Tree,Variety Stores,http://Dollartree.Com,2840 Geneva Ave,Daly City,CA,94014,Alberto,No,Excellent,"$20,000 to $50,000",037.706387,-122.414721,"Dollar Tree Is North America's Largest Single Price Point Retailer For Party, Household & Cleaning Supplies, As Well As Home Decor & Seasonal Products. Everything Is $1 OR Less!"
(415) 570-0090,Dollar Tree,Variety Stores,http://Dollartree.Com,6232 Mission St,Daly City,CA,94014,,No,Excellent,"$20,000 to $50,000",037.706491,-122.460308,"Dollar Tree Is North America's Largest Single Price Point Retailer For Party, Household & Cleaning Supplies, As Well As Home Decor & Seasonal Products. Everything Is $1 OR Less!"
(650) 994-9440,Domino's,Pizza,http://Dominos.Com,2408 Junipero Serra Blvd # C,Daly City,CA,94015,Eli,No,Excellent,"$10,000 to $20,000",037.692994,-122.471337,"Domino's Pizza IN Daly City Is Your Pizza Restaurant For Fast Pizza Delivery. We Have Coupons And Specials On Pizza, Pasta, Buffalo Wings, & More! Order Online Now!"
(415) 988-7407,Domino's,Pizza,http://Dominos.Com,2665 Geneva Ave,Daly City,CA,94014,John,No,Very Good,"$10,000 to $20,000",037.707730,-122.415893,
(650) 755-7573,Dong Quanli Inc,Dentists,,355 Gellert Blvd # 152,Daly City,CA,94015,Quanli,No,Excellent,,037.666299,-122.468609,
(650) 755-5700,Dr Kim Lucas Benton-Vista,Dentists,http://Drkimbenton.Com,355 Gellert Blvd # 108,Daly City,CA,94015,Mark,No,Excellent,"$5,000 to $10,000",037.666299,-122.468609,
(650) 997-0100,Dr Young Again,Chiropractors DC,http://Youngagain.Org,151 87th St # 1,Daly City,CA,94015,Sung,No,Excellent,"$5,000 to $10,000",037.693217,-122.471563,
(650) 992-9600,Drain Doctor,Plumbing Contractors,http://Draindoctor.Com,,Daly City,CA,94015,,No,Very Good,"Less than $5,000",037.680537,-122.478908,
(650) 878-0555,DRS Tire & Auto Care,Tire-Dealers-Retail,,1010 King Dr,Daly City,CA,94015,Danny,No,Excellent,"$5,000 to $10,000",037.650321,-122.469869,
(415) 334-1553,Duggan Plumbing Inc,Plumbing Contractors,,95 Oakridge Dr,Daly City,CA,94014,,Yes,Very Good,"Less than $5,000",037.707124,-122.429647,
(650) 992-9660,Dunn-Edwards Paints,Paint-Retail,,2201 Junipero Serra Blvd,Daly City,CA,94014,Todd,No,Excellent,"$20,000 to $50,000",037.697201,-122.470269,
(650) 992-2205,Duo Dance Academy,Dancing Instruction,http://Duodanceacademy.Com,12 Wellington Ave,Daly City,CA,94014,,No,Very Good,"Less than $5,000",037.705459,-122.461269,
(650) 755-7687,E & F Income Tax,Tax Return Preparation & Filing,,7390 Mission St,Daly City,CA,94014,Francis,No,Very Good,"Less than $5,000",037.689937,-122.466017,
(650) 994-0705,Eagle Refrigeration Htg & AC,Air Conditioning Contractors & Systems,http://Eagle-Heating.Com,57 Fairway Dr,Daly City,CA,94015,Herman,No,Excellent,"$5,000 to $10,000",037.700137,-122.478806,
(650) 755-8440,Early Learning Academy,Child Care Service,http://Earlylearningacademy.Org,398 F St,Colma,CA,94014,Susan,No,Excellent,"Less than $5,000",037.682558,-122.463551,
(650) 991-2300,Econo Insurance Agency,Insurance,,7455 El Camino Real #B,Daly City,CA,94015,Roger,No,Excellent,"Less than $5,000",037.680537,-122.478908,
(650) 755-2022,Economy Plumbing,Plumbing Contractors,http://Economysf.Com,,Daly City,CA,94015,,No,Very Good,"$5,000 to $10,000",037.680537,-122.478908,
(650) 755-5100,Economy Plumbing,Plumbing Contractors,http://Economysf.Com,1661 Southgate Ave,Daly City,CA,94015,,No,Very Good,"Less than $5,000",037.675472,-122.470482,
(650) 755-1128,Economy Plumbing Sewer-Drain,Plumbing Contractors,,School St & Msn,Daly City,CA,94015,,No,Very Good,"Less than $5,000",037.680537,-122.478908,
(650) 757-0477,Edmund For Hair,Beauty Salons,,6815 Mission St,Daly City,CA,94014,Edmund,No,Good,"Less than $5,000",037.699117,-122.463749,
(650) 878-4223,Ehb Construction,General Contractors,http://Ehbconstruction.Com,70 Penhurst Ave,Daly City,CA,94015,Edward,Yes,Good,"$5,000 to $10,000",037.660886,-122.473485,
(415) 337-8780,El Peruche Restaurant,Restaurants,,5997 Mission St,Daly City,CA,94014,Edwin,No,Very Good,"$5,000 to $10,000",037.707880,-122.454639,
(650) 757-9820,El Taconazo,Restaurants,,7384 Mission St,Daly City,CA,94014,,No,Very Good,"Less than $5,000",037.690198,-122.466084,
(650) 994-9696,Electra Auto Repair,Automobile Repairing & Service,,7244 Mission St,Daly City,CA,94014,Jimmy,No,Excellent,"$5,000 to $10,000",037.692460,-122.465601,
(650) 992-1288,Elegant Skin Care,Skin Treatments,,6656 Mission St,Daly City,CA,94014,Maggie,No,Very Good,"Less than $5,000",037.702030,-122.463374,
(650) 994-0108,Elite Hair Salon Hair Nail,Beauty Salons,,30 Park Plaza Dr,Daly City,CA,94015,Wendy,No,Excellent,"$5,000 to $10,000",037.701371,-122.481927,
(650) 756-3636,Elite Salon,Beauty Salons,,53 Saint Francis Sq,Daly City,CA,94015,Loanne,No,Excellent,"Less than $5,000",037.675203,-122.479821,
(650) 757-6189,Elite Window Cleaning,Window Cleaning,,PO Box 3266,Daly City,CA,94015,,No,Very Good,"$5,000 to $10,000",037.680537,-122.478908,
(650) 991-9200,European Wax Ctr,Hair Removing,http://Waxcenter.Com,309 Gellert Blvd # C,Daly City,CA,94015,,No,Excellent,"$5,000 to $10,000",037.668026,-122.468617,
(650) 991-9900,European Wax Ctr,Hair Removing,http://Waxcenter.Com,518 Westlake Ctr,Daly City,CA,94015,Iris,No,Excellent,"$10,000 to $20,000",037.701657,-122.483510,
(415) 716-8768,Ewindowhousecleaning LLC,House Cleaning,http://Ewindowhousecleaning.Com,630 Clarinada Ave,Daly City,CA,94015,,No,Very Good,"$10,000 to $20,000",037.671437,-122.481707,The First Step To A Cleaner Home
(650) 992-9800,Extreme Pizza,Pizza,http://Extremepizza.Com,3911 Alemany Blvd # 1001,San Francisco,CA,94132,Jackey,No,Excellent,"$20,000 to $50,000",037.710890,-122.466736,"Established IN 1994, Extreme Pizza Is A Chain Of Fast Food Restaurants. The Eatery Provides Various Delicacies To Its Guests. The Restaurant Serves Menu Items, Salads, Subs, Pizzas And Calzones. It Provides A Range Of Sauces, Such As Tomato, Pesto, Black Bean/Salsa And Hummus. Extreme Pizza Has Also Been Ranked On The Inc 500's Fastest Growing Companies For Three Consecutive Years. It Is A Recipient Of 'Best Pizza Award' IN San Francisco, The East Bay And The Bay Area ."
(650) 755-0134,EZ Auto Sales,Automobile Dealers-Used Cars,http://Ezautocarsales.Com,6747 Mission St,Daly City,CA,94014,Laurice,No,Very Good,"$20,000 to $50,000",037.700590,-122.463332,
(650) 758-6338,Faith Community Mortgage,Real Estate Loans,,318 Westlake Ctr # 270,Daly City,CA,94015,,No,Very Good,"$50,000 to $100,000",037.700695,-122.483057,
(650) 861-1076,Family Circle,Home Health Service,,194 Canterbury Ave,Daly City,CA,94015,Teresita,Yes,Good,"Less than $5,000",037.651480,-122.470548,
(650) 757-0800,Farmers Insurance,Insurance,http://Farmersagent.Com,1 Washington St,Daly City,CA,94014,Jennifer,No,Excellent,"Less than $5,000",037.687683,-122.468688,"As Your Personal Farmers Insurance Agent Located IN Daly City, I Believe IN Keeping You Informed Of Ways To Protect What's Important To You. Whether You'Re Looking For Auto Insurance, Homeowners Insurance, Life Insurance, OR Specialty Coverage, Farmers Insurance Will Help You Select The Right Products To Fit Your Insurance Needs. Auto Insurance At Farmers Insurance Offers A Variety Of Auto Insurance Products To Fit Your Needs. IN Case You'Re Involved IN An Accident, Farmers Auto, Motorcycle & Car Insurance Provides Financial Protection For You And Your Family. Whether You Need Homeowners Insurance OR Renters Insurance, Farmers Offers Home Insurance Coverage For Protecting You And Your Belongings. Farmers Insurance Also Offers Life Insurance, Business Insurance, Motorcycle Insurance, & Financial Planning To Help Protect Your Hard Earned Assets. Visit Our Website Today For A Competitive Quote To Help Save Money & Better Protect Your Family Today!"
(650) 878-8222,Farmers Insurance,Insurance,http://Farmers.Com,100 Skyline Plz # 201,Daly City,CA,94015,,No,Excellent,"Less than $5,000",037.682029,-122.488128,"As Your Personal Farmers Insurance Agent Located IN Daly City, I Believe IN Keeping You Informed Of Ways To Protect What's Important To You. Whether You'Re Looking For Auto Insurance, Homeowners Insurance, Life Insurance, OR Specialty Coverage, Farmers Insurance Will Help You Select The Right Products To Fit Your Insurance Needs. Auto Insurance At Farmers Insurance Offers A Variety Of Auto Insurance Products To Fit Your Needs. IN Case You'Re Involved IN An Accident, Farmers Auto, Motorcycle & Car Insurance Provides Financial Protection For You And Your Family. Whether You Need Homeowners Insurance OR Renters Insurance, Farmers Offers Home Insurance Coverage For Protecting You And Your Belongings. Farmers Insurance Also Offers Life Insurance, Business Insurance, Motorcycle Insurance, & Financial Planning To Help Protect Your Hard Earned Assets. Visit Our Website Today For A Competitive Quote To Help Save Money & Better Protect Your Family Today!"
(415) 890-6033,Farmers Insurance,Insurance,http://Agents.Farmers.Com,140 School St # 229,Daly City,CA,94014,Lindy,No,Excellent,"Less than $5,000",037.693589,-122.467218,
(650) 273-7511,Farmers Insurance,Insurance,http://Agents.Farmers.Com,151 87th St # 12,Daly City,CA,94015,Maggie,No,Very Good,"$10,000 to $20,000",037.693217,-122.471563,
(650) 755-9690,Farmers Insurance,Insurance,,1618 Sullivan Ave # 203,Daly City,CA,94015,Patrick,No,Excellent,"$5,000 to $10,000",037.687333,-122.472598,"As Your Personal Farmers Insurance Agent Located IN Daly City, I Believe IN Keeping You Informed Of Ways To Protect What's Important To You. Whether You'Re Looking For Auto Insurance, Homeowners Insurance, Life Insurance, OR Specialty Coverage, Farmers Insurance Will Help You Select The Right Products To Fit Your Insurance Needs. Auto Insurance At Farmers Insurance Offers A Variety Of Auto Insurance Products To Fit Your Needs. IN Case You'Re Involved IN An Accident, Farmers Auto, Motorcycle & Car Insurance Provides Financial Protection For You And Your Family. Whether You Need Homeowners Insurance OR Renters Insurance, Farmers Offers Home Insurance Coverage For Protecting You And Your Belongings. Farmers Insurance Also Offers Life Insurance, Business Insurance, Motorcycle Insurance, & Financial Planning To Help Protect Your Hard Earned Assets. Visit Our Website Today For A Competitive Quote To Help Save Money & Better Protect Your Family Today!"
(650) 756-6249,Farmers Insurance,Insurance,http://Farmersagent.Com,300 Washington St,Daly City,CA,94015,,No,Excellent,"Less than $5,000",037.688155,-122.472567,"As Your Personal Farmers Insurance Agent Located IN Daly City, I Believe IN Keeping You Informed Of Ways To Protect What's Important To You. Whether You'Re Looking For Auto Insurance, Homeowners Insurance, Life Insurance, OR Specialty Coverage, Farmers Insurance Will Help You Select The Right Products To Fit Your Insurance Needs. Auto Insurance At Farmers Insurance Offers A Variety Of Auto Insurance Products To Fit Your Needs. IN Case You'Re Involved IN An Accident, Farmers Auto, Motorcycle & Car Insurance Provides Financial Protection For You And Your Family. Whether You Need Homeowners Insurance OR Renters Insurance, Farmers Offers Home Insurance Coverage For Protecting You And Your Belongings. Farmers Insurance Also Offers Life Insurance, Business Insurance, Motorcycle Insurance, & Financial Planning To Help Protect Your Hard Earned Assets. Visit Our Website Today For A Competitive Quote To Help Save Money & Better Protect Your Family Today!"
(415) 564-9235,Farmers Insurance,Insurance,http://Agents.Farmers.Com,318 Westlake Ctr # 217,Daly City,CA,94015,Jerry,No,Excellent,"Less than $5,000",037.700695,-122.483057,"As Your Personal Farmers Insurance Agent Located IN Daly City, I Believe IN Keeping You Informed Of Ways To Protect What's Important To You. Whether You'Re Looking For Auto Insurance, Homeowners Insurance, Life Insurance, OR Specialty Coverage, Farmers Insurance Will Help You Select The Right Products To Fit Your Insurance Needs. Auto Insurance At Farmers Insurance Offers A Variety Of Auto Insurance Products To Fit Your Needs. IN Case You'Re Involved IN An Accident, Farmers Auto, Motorcycle & Car Insurance Provides Financial Protection For You And Your Family. Whether You Need Homeowners Insurance OR Renters Insurance, Farmers Offers Home Insurance Coverage For Protecting You And Your Belongings. Farmers Insurance Also Offers Life Insurance, Business Insurance, Motorcycle Insurance, & Financial Planning To Help Protect Your Hard Earned Assets. Visit Our Website Today For A Competitive Quote To Help Save Money & Better Protect Your Family Today!"
(650) 301-5016,Farmers Insurance,Insurance,http://Farmers.Com,550 Washington St # 109,Daly City,CA,94015,Clysly,No,Very Good,"Less than $5,000",037.688132,-122.474872,"As Your Personal Farmers Insurance Agent Located IN Daly City, I Believe IN Keeping You Informed Of Ways To Protect What's Important To You. Whether You'Re Looking For Auto Insurance, Homeowners Insurance, Life Insurance, OR Specialty Coverage, Farmers Insurance Will Help You Select The Right Products To Fit Your Insurance Needs. Auto Insurance At Farmers Insurance Offers A Variety Of Auto Insurance Products To Fit Your Needs. IN Case You'Re Involved IN An Accident, Farmers Auto, Motorcycle & Car Insurance Provides Financial Protection For You And Your Family. Whether You Need Homeowners Insurance OR Renters Insurance, Farmers Offers Home Insurance Coverage For Protecting You And Your Belongings. Farmers Insurance Also Offers Life Insurance, Business Insurance, Motorcycle Insurance, & Financial Planning To Help Protect Your Hard Earned Assets. Visit Our Website Today For A Competitive Quote To Help Save Money & Better Protect Your Family Today!"
(650) 757-1888,Farmers Insurance,Insurance,http://Farmers.Com,6777 Mission St,Daly City,CA,94014,Joy,No,Excellent,"Less than $5,000",037.699883,-122.463688,
(650) 992-8999,Farmers Insurance-Brian Seto,Insurance,http://Agents.Farmers.Com,6139 Mission St,Daly City,CA,94014,Brian,No,Excellent,,037.706905,-122.457494,"CA Lic. #0f18556as Your Personal Farmers Insurance Agent Located IN Daly City, I Believe IN Keeping You Informed Of Ways To Protect What's Important To You. Whether You'Re Looking For Auto Insurance, Homeowners Insurance, Life Insurance, OR Specialty Coverage, Farmers Insurance Will Help You Select The Right Products To Fit Your Insurance Needs. Auto Insurance At Farmers Insurance Offers A Variety Of Auto Insurance Products To Fit Your Needs. IN Case You'Re Involved IN An Accident, Farmers Auto, Motorcycle & Car Insurance Can Help Provide Financial Protection For You And Your Family. Whether You Need Homeowners Insurance OR Renters Insurance, Farmers Offers Home Insurance Coverage For Protecting You And Your Belongings. Farmers Insurance Also Offers Life Insurance, Business Insurance, And Motorcycle Insurance To Help Protect Your Hard Earned Assets. Visit Our Website For A Competitive Quote To Help Save Money & Better Protect Your Family Today!"
(650) 897-5540,Farmers Insurance-Ej Paje Ins,Insurance,http://Farmersagent.Com,66 San Pedro Rd # E,Daly City,CA,94014,Emmanuel,No,Excellent,"Less than $5,000",037.688767,-122.467373,"As Your Personal Farmers Insurance Agent Located IN Daly City, I Believe IN Keeping You Informed Of Ways To Protect What's Important To You. Whether You'Re Looking For Auto Insurance, Homeowners Insurance, Life Insurance, OR Specialty Coverage, Farmers Insurance Will Help You Select The Right Products To Fit Your Insurance Needs. Auto Insurance At Farmers Insurance Offers A Variety Of Auto Insurance Products To Fit Your Needs. IN Case You'Re Involved IN An Accident, Farmers Auto, Motorcycle & Car Insurance Provides Financial Protection For You And Your Family. Whether You Need Homeowners Insurance OR Renters Insurance, Farmers Offers Home Insurance Coverage For Protecting You And Your Belongings. Farmers Insurance Also Offers Life Insurance, Business Insurance, Motorcycle Insurance, & Financial Planning To Help Protect Your Hard Earned Assets. Visit Our Website Today For A Competitive Quote To Help Save Money & Better Protect Your Family Today!"
(650) 755-3419,Farmers Insurance-Emmanuel Pj,Insurance,http://Farmers.Com,66 San Pedro Rd # E,Daly City,CA,94014,Emmanuel,No,Very Good,,037.688767,-122.467373,"CA Lic. #0b92443as Your Personal Farmers Insurance Agent Located IN Daly City, I Believe IN Keeping You Informed Of Ways To Protect What's Important To You. Whether You'Re Looking For Auto Insurance, Homeowners Insurance, Life Insurance, OR Specialty Coverage, Farmers Insurance Will Help You Select The Right Products To Fit Your Insurance Needs. Auto Insurance At Farmers Insurance Offers A Variety Of Auto Insurance Products To Fit Your Needs. IN Case You'Re Involved IN An Accident, Farmers Auto, Motorcycle & Car Insurance Can Help Provide Financial Protection For You And Your Family. Whether You Need Homeowners Insurance OR Renters Insurance, Farmers Offers Home Insurance Coverage For Protecting You And Your Belongings. Farmers Insurance Also Offers Life Insurance, Business Insurance, And Motorcycle Insurance To Help Protect Your Hard Earned Assets. Visit Our Website For A Competitive Quote To Help Save Money & Better Protect Your Family Today!"
(650) 756-5791,Fedex Office Print & Ship Ctr,Mailing & Shipping Services,http://Local.Fedex.Com,31 Colma Blvd,Colma,CA,94014,,No,Excellent,"$100,000 to $250,000",037.677099,-122.468639,"Fedex Office IN Colma, CA Provides A One-Stop Shop For Small Businesses Printing And Shipping Expertise And Reliable Customer Service When And Where You Need It. Services Include Copying And Digital Printing, Direct Mail, Signs And Graphics, Internet Access, Computer Rental, Fax Services, Expedited Passport Services, Passport Renewal, Passport Photos, Fedex Express And Fedex Ground Shipping. Upload Documents With Fedex Office Print Online, And Have Your Flyers, Brochures, Presentations OR Signs Ready For Convenient Pick-Up OR Delivery. Fedex Kinkos Is Now Fedex Office."
(650) 992-0463,Feeney O Neil & Vaughan Mds,Physicians & Surgeons,http://Feeney-Vaughan.Com,1800 Sullivan Ave # 207,Daly City,CA,94015,Daniel Paul,No,Excellent,,037.680921,-122.474772,
(650) 755-1600,Fellman Michael Siding-Roofing,Roofing Contractors,,106 Bismark St,Daly City,CA,94014,Michael,No,Excellent,"$5,000 to $10,000",037.695697,-122.461739,"Fellman Michael Siding And Roofing Offers Quality Roofing Services For Residential And Commercial Clients IN San Francisco County, San Mateo County And The San Francisco Peninsula."
(650) 755-1212,"Ferrera, John M Aty",Attorneys,,2171 Junipero Serra Blvd # 620,Daly City,CA,94014,John M,No,Excellent,,037.698448,-122.470641,
(650) 992-6191,Fil-AM Cuisine,Restaurants,,66 School St,Daly City,CA,94014,Richard,No,Excellent,"$5,000 to $10,000",037.693503,-122.465699,
(650) 263-4743,Firestone Complete Auto Care,Automobile Repairing & Service,http://Local.Firestonecompleteautocare.Com,4 Serramonte Ctr,Daly City,CA,94015,Michael,No,Excellent,"$20,000 to $50,000",037.674384,-122.471941,"Our Skilled Technicians Are Ready To Serve All Of Your Vehicle Needs. From Tires, Auto Service, Brakes, And Alignments, It's A One Stop Shopping Experience. Call OR Make An Appointment Online Today."
(650) 757-1919,Fitness 19,Health Clubs Studios & Gymnasiums,http://Fitness19.Com,263 Lake Merced Blvd,Daly City,CA,94015,Bryson,No,Excellent,"$20,000 to $50,000",037.699888,-122.484069,
